NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,id
Facundo Ferreyra,RCD Espanyol,Spain Primera Division,ST,Gold,77,49,70,82,76,64,65,4445
Facundo Roncaglia,CA Osasuna,Spain Primera Division,CB,Gold,76,58,41,64,66,77,74,4455
Falaye Sacko,Vitória Guimarães,Portugal Liga NOS,RB,Gold,75,91,73,68,78,47,70,4469
Falcao,Galatasaray,Turkey Süper Lig,ST,Gold,83,77,79,81,86,55,63,4470
Famara Diedhiou,Bristol City,England EFL Championship,ST,Gold,79,90,68,70,83,36,58,4475
Faouzi Ghoulam,Napoli,Italy Serie A,LB,Gold,80,67,61,72,70,78,80,4482
Faris Haroun,Antwerp,Belgium Jupiler Pro League,CDM,Gold,75,47,56,61,62,74,80,4489
Fayçal Fajr,Getafe CF,Spain Primera Division,CM,Gold,77,77,42,68,72,76,76,4501
Fede Vico,Granada CF,Spain Primera Division,CAM,Gold,75,67,65,72,76,73,73,4503
Federico Bernardeschi,Piemonte Calcio,Italy Serie A,RM,Gold,83,77,78,82,84,65,72,4508
Federico Chiesa,Fiorentina,Italy Serie A,RW,Gold,79,74,44,65,68,78,76,4513
Federico Di Francesco,Spal,Italy Serie A,LW,Gold,76,65,45,49,60,78,74,4514
Federico Fazio,Roma,Italy Serie A,CB,Gold,80,45,32,44,54,79,82,4517
Federico Fernández,Newcastle United,England Premier League,CB,Gold,76,73,75,71,73,36,73,4518
Federico Higuaín,Columbus Crew SC,USA Major League Soccer,CAM,Gold,76,76,78,69,74,29,60,4521
Federico Mancuello,Toluca,Mexico Liga MX,CAM,Gold,76,61,42,53,51,74,79,4525
Federico Ricca,Club Brugge,Belgium Jupiler Pro League,LB,Gold,75,93,67,66,78,47,63,4535
Federico Santander,Bologna,Italy Serie A,ST,Gold,75,52,52,53,55,76,73,4538
Federico Valverde,Real Madrid,Spain Primera Division,CM,Gold,77,94,76,67,79,51,75,4540
Fedor Chalov,CSKA Moskva,Russia FUT League,ST,Gold,76,82,75,61,73,44,83,4544
Fedor Smolov,Lokomotiv Moskva,Russia FUT League,ST,Gold,80,75,78,65,77,32,72,4545
Felipe,Atlético de Madrid,Spain Primera Division,CB,Gold,84,68,80,71,76,65,86,4551
Felipe Anderson,West Ham United,England Premier League,LM,Gold,84,79,70,81,83,77,73,4557
Felipe Caicedo,Lazio,Italy Serie A,CF,Gold,78,83,79,71,80,36,73,4560
Felipe Gutiérrez,Sporting KC,USA Major League Soccer,CM,Gold,75,44,53,55,56,77,75,4564
Felix Klaus,VfL Wolfsburg,Germany 1. Bundesliga,RW,Gold,76,74,33,52,60,76,78,4584
Felix Uduokhai,VfL Wolfsburg,Germany 1. Bundesliga,CB,Gold,75,89,62,69,77,23,41,4597
Ferland Mendy,Real Madrid,Spain Primera Division,LB,Gold,80,75,40,59,61,82,79,4611
Fernandinho,Manchester City,England Premier League,CDM,Gold,87,76,82,80,86,39,77,4614
Fernando,Sevilla FC,Spain Primera Division,CDM,Gold,81,42,69,73,75,78,79,4618
Fernando Hierro,Icons,Icons,CB,Gold,91,91,86,88,92,44,73,4638
Ferrán Torres,Valencia CF,Spain Primera Division,RM,Gold,75,74,64,73,76,66,53,4651
Ferro,SL Benfica,Portugal Liga NOS,CB,Gold,78,67,42,51,58,78,83,4654
Filip Benković,Leicester City,England Premier League,CB,Gold,76,75,69,78,76,56,69,4663
Filip Kostić,Eintracht Frankfurt,Germany 1. Bundesliga,LM,Gold,84,84,82,71,85,43,86,4671
Filip Krovinović,West Bromwich Albion,England EFL Championship,CAM,Gold,75,89,70,65,78,36,65,4674
Filip Novák,Trabzonspor,Turkey Süper Lig,LB,Gold,75,68,60,71,69,70,78,4681
Filippo Inzaghi,Icons,Icons,ST,Gold,90,83,49,67,65,91,86,4695
Fin Bartels,Werder Bremen,Germany 1. Bundesliga,RM,Gold,75,67,63,73,74,67,64,4702
Flavien Tait,Stade Rennais,France Ligue 1,LM,Gold,78,59,58,79,76,65,66,4709
Florent Mollet,Montpellier HSC,France Ligue 1,CAM,Gold,82,72,75,75,76,78,81,4719
Florentino,SL Benfica,Portugal Liga NOS,CDM,Gold,76,81,75,67,76,30,65,4726
Florian Grillitsch,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CDM,Gold,82,55,35,54,58,84,72,4741
Florian Kainz,1. FC Köln,Germany 1. Bundesliga,LM,Gold,75,61,39,59,65,75,71,4752
Florian Lejeune,Newcastle United,England Premier League,CB,Gold,78,53,80,63,66,35,70,4758
Florian Neuhaus,Borussia M'gladbach,Germany 1. Bundesliga,CM,Gold,78,68,70,79,79,49,70,4765
Florian Thauvin,Olympique de Marseille,France Ligue 1,RW,Gold,83,72,75,85,83,52,74,4772
Florin Andone,Galatasaray,Turkey Süper Lig,ST,Gold,76,74,74,57,69,31,68,4776
Frédéric Guilbert,Aston Villa,England Premier League,RB,Gold,76,73,70,74,76,65,69,4800
Fran Beltrán,RC Celta de Vigo,Spain Primera Division,CDM,Gold,75,69,66,71,74,53,61,4805
Fran Sol,Dynamo Kyiv,Ukraine Premier Liga,ST,Gold,75,46,74,63,74,35,72,4813
François Kamano,Girondins de Bordeaux,France Ligue 1,LW,Gold,76,79,76,69,75,34,64,4817
Francesco Acerbi,Lazio,Italy Serie A,CB,Gold,83,78,45,68,72,83,80,4820
Francesco Caputo,Sassuolo,Italy Serie A,LW,Gold,81,78,75,80,84,37,61,4823
Francis Coquelin,Valencia CF,Spain Primera Division,CM,Gold,80,77,75,80,82,34,48,4842
Franck Yannick Kessié,Milan,Italy Serie A,CM,Gold,79,53,33,65,57,78,83,4872
Franco Baresi,Icons,Icons,CB,Gold,93,70,49,76,72,95,82,4873
Franco Cervi,SL Benfica,Portugal Liga NOS,LM,Gold,76,78,72,69,77,72,78,4878
Franco Jara,Pachuca,Mexico Liga MX,ST,Gold,81,79,50,66,71,81,81,4883
Franco Vázquez,Sevilla FC,Spain Primera Division,CM,Gold,81,74,50,72,73,82,78,4893
Frank Acheampong,Tianjin Teda,China Super League,ST,Gold,77,54,71,66,67,77,81,4895
Frank Fabra,Buenos Aires,Argentina Primera División ,LB,Gold,82,82,82,71,81,30,71,4896
Frank Lampard,Icons,Icons,CM,Gold,90,85,76,81,82,90,90,4899
Frank Rijkaard,Icons,Icons,CDM,Gold,90,95,82,81,89,47,67,4904
Fransérgio,Braga,Portugal Liga NOS,CM,Gold,77,71,67,74,76,73,75,4913
Fred,Manchester United,England Premier League,CM,Gold,79,70,76,64,76,33,66,4922
Fredrik Midtsjø,AZ,Holland Eredivisie,CM,Gold,75,75,61,71,74,73,78,4955
Fredy Montero,Vancouver Whitecaps,USA Major League Soccer,ST,Gold,75,84,70,76,80,69,67,4963
Frenkie de Jong,FC Barcelona,Spain Primera Division,CM,Gold,86,80,80,86,82,83,78,4966
Gökhan Gönül,Beşiktaş,Turkey Süper Lig,RB,Gold,75,55,68,73,70,70,69,4983
Gaël Clichy,Medipol Başakşehir,Turkey Süper Lig,LB,Gold,77,73,67,77,77,67,73,4991
Gaëtan Charbonnier,Stade Brestois 29,France Ligue 1,ST,Gold,75,77,73,71,76,45,64,4996
Gaëtan Laborde,Montpellier HSC,France Ligue 1,ST,Gold,78,84,73,75,76,36,75,5000
Gabriel,SL Benfica,Portugal Liga NOS,CM,Gold,80,67,61,72,70,78,80,5007
Gabriel Boschilia,AS Monaco,France Ligue 1,CAM,Gold,75,64,66,68,69,70,78,5014
Gabriel Jesus,Manchester City,England Premier League,ST,Gold,82,90,81,72,80,35,76,5028
Gabriel Paulista,Valencia CF,Spain Primera Division,CB,Gold,82,81,77,79,83,46,75,5033
Gaku Shibasaki,RC Deportivo,Spain Segunda A,CAM,Gold,76,58,46,71,76,71,72,5057
Galeno,Braga,Portugal Liga NOS,LW,Gold,77,58,37,59,54,79,74,5059
Gareth Bale,Real Madrid,Spain Primera Division,RW,Gold,86,97,80,78,89,50,65,5067
Garrincha,Icons,Icons,RW,Gold,94,90,87,94,96,41,68,5073
Garry Rodrigues,Fenerbahçe,Turkey Süper Lig,LM,Gold,76,73,71,74,77,52,50,5077
Gary Cahill,Crystal Palace,England Premier League,CB,Gold,77,76,72,75,75,75,69,5078
Gary Lineker,Icons,Icons,ST,Gold,92,88,91,73,86,36,76,5084
Gary Medel,Bologna,Italy Serie A,CDM,Gold,84,93,59,72,83,80,77,5091
Gastón Giménez,Vélez Sarsfield,Argentina Primera División ,CM,Gold,75,65,68,75,76,39,55,5106
Gastón Pereiro,PSV,Holland Eredivisie,CAM,Gold,77,79,76,63,74,40,76,5109
Gastón Ramírez,Sampdoria,Italy Serie A,CAM,Gold,78,80,62,75,83,72,68,5110
Gayà,Valencia CF,Spain Primera Division,LB,Gold,81,67,73,79,79,71,72,5124
Gedson Fernandes,SL Benfica,Portugal Liga NOS,CM,Gold,76,78,68,71,76,65,74,5130
Gelson Fernandes,Eintracht Frankfurt,Germany 1. Bundesliga,CDM,Gold,77,78,66,76,79,70,71,5135
Gelson Martins,AS Monaco,France Ligue 1,RM,Gold,86,92,67,78,79,83,83,5136
Gen Shoji,Toulouse FC,France Ligue 1,CB,Gold,75,57,76,65,68,38,72,5138
Gennaro Gattuso,Icons,Icons,CDM,Gold,89,85,87,89,89,40,65,5141
Gennaro Tutino,Hellas Verona,Italy Serie A,CF,Gold,75,75,66,74,77,49,52,5145
Geoffrey Kondogbia,Valencia CF,Spain Primera Division,CM,Gold,81,52,48,62,65,82,74,5148
Georg Margreitter,1. FC Nürnberg,Germany 2. Bundesliga,CB,Gold,79,67,71,79,82,62,65,5151
George Best,Icons,Icons,RW,Gold,93,93,91,84,94,58,71,5156
Georginio Wijnaldum,Liverpool,England Premier League,CM,Gold,86,86,81,82,90,40,61,5202
Georgiy Dzhikiya,Spartak Moskva,Russia FUT League,CB,Gold,78,31,71,77,71,76,62,5209
Gerard Moreno,Villarreal CF,Spain Primera Division,RW,Gold,86,88,83,84,85,35,80,5215
Germán Cano,Independiente Medellín,Colombia Liga Aguila,ST,Gold,82,52,56,63,61,83,87,5226
Germán Conti,SL Benfica,Portugal Liga NOS,CB,Gold,75,74,65,70,73,73,76,5229
Germán Pezzella,Fiorentina,Italy Serie A,CB,Gold,82,90,52,76,80,74,76,5233
Gervinho,Parma,Italy Serie A,LW,Gold,78,71,68,76,76,70,68,5244
Gheorghe Hagi,Icons,Icons,CAM,Gold,91,83,52,66,67,90,90,5250
Ghislain Konan,Stade de Reims,France Ligue 1,LB,Gold,75,78,70,67,75,53,76,5253
Giacomo Bonaventura,Milan,Italy Serie A,CM,Gold,82,80,72,77,87,51,58,5255
Giancarlo González,Los Angeles Galaxy,USA Major League Soccer,CB,Gold,76,60,66,76,72,71,68,5260
Gianfranco Zola,Icons,Icons,CF,Gold,90,77,60,70,72,90,86,5261
Gianluca Mancini,Roma,Italy Serie A,CB,Gold,76,76,59,75,74,71,72,5273
Gianluca Zambrotta,Icons,Icons,RB,Gold,89,85,90,75,80,46,88,5275
Giannelli Imbula,Lecce,Italy Serie A,CM,Gold,75,77,25,36,46,73,85,5281
Giorgio Chiellini,Piemonte Calcio,Italy Serie A,CB,Gold,89,96,84,78,90,39,75,5305
Giovani dos Santos,América,Mexico Liga MX,CAM,Gold,76,42,71,70,69,76,88,5308
Giovani Lo Celso,Tottenham Hotspur,England Premier League,CM,Gold,83,54,65,80,77,82,74,5309
Giovanni Moreno,Shanghai Greenland Shenhua,China Super League,CAM,Gold,76,46,79,61,66,36,74,5314
Giovanni Simeone,Cagliari,Italy Serie A,ST,Gold,77,83,74,63,78,40,75,5316
Giovanni Sio,Gençlerbirliği SK,Turkey Süper Lig,ST,Gold,77,91,61,70,79,71,78,5317
Giuliano,Al Nassr,Saudi Dawry Jameel League,CAM,Gold,82,85,78,80,85,49,60,5321
Glenn Murray,Brighton & Hove Albion,England Premier League,ST,Gold,77,77,62,74,74,73,79,5336
Godfred Donsah,Bologna,Italy Serie A,CM,Gold,75,70,54,76,79,72,61,5341
Gonçalo Guedes,Valencia CF,Spain Primera Division,LM,Gold,83,64,70,86,87,62,60,5347
Gonçalo Paciência,Eintracht Frankfurt,Germany 1. Bundesliga,ST,Gold,76,79,73,69,79,36,44,5349
Gonzalo Castro,VfB Stuttgart,Germany 2. Bundesliga,CM,Gold,75,65,32,55,66,75,71,5355
Gonzalo Escalante,SD Eibar,Spain Primera Division,CDM,Gold,77,67,50,68,70,77,80,5356
Gonzalo Higuaín,Piemonte Calcio,Italy Serie A,ST,Gold,85,56,66,83,79,85,76,5360
Gonzalo Martínez,Atlanta United FC,USA Major League Soccer,CAM,Gold,78,79,75,76,79,53,74,5364
Gonzalo Montiel,Núñez,Argentina Primera División ,RB,Gold,75,92,68,68,80,29,56,5365
Granell,Girona FC,Spain Segunda A,CM,Gold,75,92,64,65,76,32,63,5391
Granero,RCD Espanyol,Spain Primera Division,CM,Gold,79,80,64,74,82,28,68,5392
Granit Xhaka,Arsenal,England Premier League,CM,Gold,81,78,70,78,79,77,74,5393
Graziano Pellè,Shandong Luneng Taishan,China Super League,ST,Gold,77,71,68,76,80,33,57,5399
Gregoire Defrel,Sassuolo,Italy Serie A,ST,Gold,78,58,72,75,75,74,76,5411
Grimaldo,SL Benfica,Portugal Liga NOS,LB,Gold,85,86,85,79,87,41,63,5415
Grzegorz Krychowiak,Lokomotiv Moskva,Russia FUT League,CM,Gold,82,76,68,81,86,67,70,5420
Guélor Kanga,Sparta Praha,Czech Republic HET Liga,CAM,Gold,78,66,69,75,75,70,69,5426
Guardiola,Icons,Icons,CDM,Gold,90,87,90,79,89,42,71,5428
Guido Burgstaller,FC Schalke 04,Germany 1. Bundesliga,ST,Gold,77,59,63,72,71,74,74,5437
Guido Carrillo,CD Leganés,Spain Primera Division,ST,Gold,75,51,32,57,51,74,80,5438
Guido Pizarro,Tigres U.A.N.L.,Mexico Liga MX,CDM,Gold,78,76,74,78,79,50,59,5440
Guido Rodríguez,América,Mexico Liga MX,CDM,Gold,77,70,77,72,81,31,67,5441
Guilherme,Olympiacos CFP,Greece A'Ethniki,CDM,Gold,76,74,49,63,72,75,82,5443
Guillaume Hoarau,BSC Young Boys,Switzerland Super League,ST,Gold,78,58,72,82,74,60,72,5452
Guillermo Fernández,Cruz Azul,Mexico Liga MX,CAM,Gold,75,68,69,73,76,47,67,5457
Guillermo Maripán,AS Monaco,France Ligue 1,CB,Gold,78,67,59,68,65,76,76,5459
Gustavo Bou,New England Revolution,USA Major League Soccer,ST,Gold,77,47,59,73,66,78,74,5485
Gustavo Cabral,Pachuca,Mexico Liga MX,CB,Gold,75,71,62,73,73,69,74,5486
Guus Til,Spartak Moskva,Russia FUT League,CAM,Gold,75,87,62,66,73,69,81,5496
Gylfi Sigurðsson,Everton,England Premier League,CAM,Gold,83,50,53,65,64,84,79,5501
Håvard Nordtveit,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CB,Gold,75,68,69,75,73,68,65,5510
Héctor Bellerín,Arsenal,England Premier League,RB,Gold,80,81,78,76,81,58,75,5515
Héctor Herrera,Atlético de Madrid,Spain Primera Division,CM,Gold,82,70,71,81,83,33,62,5519
Héctor Villalba,Atlanta United FC,USA Major League Soccer,RM,Gold,84,82,77,79,88,52,59,5524
Héldon,Al Taawoun,Saudi Dawry Jameel League,RM,Gold,76,65,73,75,76,44,63,5529
Hakan Çalhanoğlu,Milan,Italy Serie A,LW,Gold,80,78,78,71,75,47,79,5539
Hakim Ziyech,Ajax,Holland Eredivisie,CAM,Gold,86,69,70,79,79,87,84,5548
Hamari Traoré,Stade Rennais,France Ligue 1,RB,Gold,75,69,41,54,61,74,81,5562
Hanno Behrens,1. FC Nürnberg,Germany 2. Bundesliga,CM,Gold,75,53,55,65,70,75,79,5593
Hans Hateboer,Atalanta,Italy Serie A,RM,Gold,78,76,61,71,73,78,71,5595
Hans Vanaken,Club Brugge,Belgium Jupiler Pro League,CAM,Gold,80,75,77,79,82,51,72,5601
Haris Seferović,SL Benfica,Portugal Liga NOS,ST,Gold,79,70,68,72,73,79,82,5614
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,91,79,91,77,88,43,84,5649
Harry Maguire,Manchester United,England Premier League,CB,Gold,82,46,81,71,73,42,79,5657
Harry Wilson,Bournemouth,England Premier League,RW,Gold,75,66,75,73,77,43,67,5672
Harry Winks,Tottenham Hotspur,England Premier League,CM,Gold,80,71,79,72,75,58,86,5673
Harvey Barnes,Leicester City,England Premier League,LW,Gold,75,68,59,66,74,73,73,5678
Hasan Ali Kaldırım,Fenerbahçe,Turkey Süper Lig,LB,Gold,76,64,40,59,59,75,79,5683
Henok Goitom,AIK,Sweden Allsvenskan,ST,Gold,78,89,75,69,82,36,62,5722
Henrik Larsson,Icons,Icons,ST,Gold,90,92,88,74,89,48,70,5737
Henrikh Mkhitaryan,Roma,Italy Serie A,RM,Gold,81,81,72,81,83,70,61,5740
Henry Martín,América,Mexico Liga MX,CF,Gold,80,61,47,75,76,78,66,5743
Henry Onyekuru,AS Monaco,France Ligue 1,LM,Gold,78,68,63,70,73,78,84,5747
Hernán Crespo,Icons,Icons,ST,Gold,90,82,88,72,82,38,80,5761
Hernâni,Levante UD,Spain Primera Division,RM,Gold,75,72,48,62,66,73,78,5768
Heung Min Son,Tottenham Hotspur,England Premier League,CF,Gold,88,85,90,80,88,36,80,5777
Hidetoshi Nakata,Icons,Icons,CAM,Gold,88,89,85,82,91,36,54,5788
Hillal Soudani,Olympiacos CFP,Greece A'Ethniki,ST,Gold,75,72,53,66,68,73,74,5798
Hilton,Montpellier HSC,France Ligue 1,CB,Gold,78,62,28,47,55,80,78,5800
Hiroki Sakai,Olympique de Marseille,France Ligue 1,RB,Gold,78,39,53,67,62,78,73,5811
Hirving Lozano,Napoli,Italy Serie A,RW,Gold,82,72,75,75,76,78,81,5824
Holger Badstuber,VfB Stuttgart,Germany 2. Bundesliga,CB,Gold,75,83,66,72,76,71,76,5828
Houssem Aouar,Olympique Lyonnais,France Ligue 1,CM,Gold,81,75,81,73,82,39,70,5838
Hristo Stoichkov,Icons,Icons,ST,Gold,92,92,93,86,92,50,86,5840
Hugo Ayala,Tigres U.A.N.L.,Mexico Liga MX,CB,Gold,75,80,41,53,57,75,77,5853
Hugo Mallo,RC Celta de Vigo,Spain Primera Division,RB,Gold,78,73,66,75,82,64,68,5861
Hugo Rodallega,Denizlispor,Turkey Süper Lig,ST,Gold,75,76,72,69,77,70,82,5863
Hugo Sánchez,Icons,Icons,ST,Gold,92,73,80,95,91,71,67,5865
Hulk,Shanghai SIPG,China Super League,RM,Gold,86,68,77,86,86,74,73,5873
Iñaki Williams,Athletic Club de Bilbao,Spain Primera Division,ST,Gold,82,71,49,57,57,82,85,5892
Iñigo Martínez,Athletic Club de Bilbao,Spain Primera Division,CB,Gold,80,76,76,76,79,41,75,5893
Iago Aspas,RC Celta de Vigo,Spain Primera Division,ST,Gold,87,69,71,88,86,76,68,5898
Iago Falqué,Torino,Italy Serie A,CF,Gold,79,61,62,77,74,73,68,5900
Ian Rush,Icons,Icons,ST,Gold,91,92,83,84,81,86,86,5907
Ian Wright,Icons,Icons,ST,Gold,89,90,88,78,88,41,70,5912
Ibai Gómez,Athletic Club de Bilbao,Spain Primera Division,RM,Gold,80,52,49,71,73,77,77,5917
Iborra,Villarreal CF,Spain Primera Division,CM,Gold,78,68,70,73,73,75,84,5919
Ibrahim Amadou,Norwich City,England Premier League,CDM,Gold,78,68,49,69,69,78,81,5923
Ibrahim Sangaré,Toulouse FC,France Ligue 1,CDM,Gold,76,89,72,67,79,41,65,5930
Ibrahima Konaté,RB Leipzig,Germany 1. Bundesliga,CB,Gold,82,55,58,60,61,83,84,5938
Ibrahima Traoré,Borussia M'gladbach,Germany 1. Bundesliga,RM,Gold,77,71,73,70,80,36,64,5949
Idrissa Doumbia,Sporting CP,Portugal Liga NOS,CDM,Gold,76,83,72,71,76,43,69,5956
Idrissa Gueye,Paris Saint-Germain,France Ligue 1,CDM,Gold,85,82,85,81,85,33,69,5957
Ignacio Fernández,Núñez,Argentina Primera División ,CM,Gold,78,69,69,81,80,63,65,5963
Ignacio Piatti,Montreal Impact,USA Major League Soccer,LW,Gold,80,89,53,71,76,77,69,5968
Ignacio Pussetto,Udinese,Italy Serie A,ST,Gold,76,63,32,57,56,77,75,5969
Ignacio Scocco,Núñez,Argentina Primera División ,ST,Gold,77,57,37,50,48,78,78,5972
Ihlas Bebou,TSG 1899 Hoffenheim,Germany 1. Bundesliga,RW,Gold,77,67,64,72,69,72,78,5988
Illarramendi,Real Sociedad,Spain Primera Division,CDM,Gold,83,92,79,76,87,42,66,6002
Iniesta,Vissel Kobe,Japan J1 League,CM,Gold,83,64,49,60,68,84,74,6016
Isaac Brizuela,Guadalajara,Mexico Liga MX,RM,Gold,76,34,71,79,72,74,73,6036
Isaac Hayden,Newcastle United,England Premier League,CDM,Gold,76,81,60,71,81,44,46,6041
Isco,Real Madrid,Spain Primera Division,CAM,Gold,86,76,45,68,58,88,89,6053
Ishak Belfodil,TSG 1899 Hoffenheim,Germany 1. Bundesliga,ST,Gold,79,48,69,84,82,66,60,6055
Islam Slimani,AS Monaco,France Ligue 1,ST,Gold,80,81,51,77,77,77,77,6061
Ismaïla Sarr,Watford,England Premier League,RM,Gold,78,63,55,67,71,79,76,6066
Ismaël Traoré,Angers SCO,France Ligue 1,CB,Gold,75,92,63,67,77,57,69,6070
Ismael Sosa,León,Mexico Liga MX,ST,Gold,79,83,80,76,82,30,62,6074
Ismaily,Shakhtar Donetsk,Ukraine Premier Liga,LB,Gold,80,78,85,76,80,47,86,6080
Issa Diop,West Ham United,England Premier League,CB,Gold,78,74,51,65,70,79,73,6089
Iturraspe,RCD Espanyol,Spain Primera Division,CM,Gold,76,61,72,77,77,55,63,6101
Iván Marcone,Buenos Aires,Argentina Primera División ,CDM,Gold,80,75,73,79,83,61,67,6116
Iván Ramis,SD Eibar,Spain Primera Division,CB,Gold,77,74,74,57,69,31,68,6121
Ivan Šunjić,Birmingham City,England EFL Championship,CDM,Gold,75,79,71,72,73,71,70,6130
Ivan Cavaleiro,Fulham,England EFL Championship,LW,Gold,75,72,61,69,69,75,79,6131
Ivan Perišić,Bayern München,Germany 1. Bundesliga,LM,Gold,84,91,63,76,77,81,81,6145
Ivan Radovanović,Genoa,Italy Serie A,CDM,Gold,76,85,66,71,78,72,71,6147
Ivan Rakitić,FC Barcelona,Spain Primera Division,CM,Gold,86,79,76,80,86,79,80,6148
Ivan Toney,Peterborough United,England EFL League One,ST,Gold,76,70,59,68,70,74,75,6153
Ivanildo Fernandes,Trabzonspor,Turkey Süper Lig,CB,Gold,75,60,74,53,66,27,77,6157
Jô,Nagoya Grampus,Japan J1 League,ST,Gold,77,61,65,72,72,74,80,6173
Jérôme Boateng,Bayern München,Germany 1. Bundesliga,CB,Gold,84,84,78,79,89,38,59,6179
Jérôme Roussillon,VfL Wolfsburg,Germany 1. Bundesliga,LB,Gold,82,55,35,54,58,84,72,6186
Jérémy Mathieu,Sporting CP,Portugal Liga NOS,CB,Gold,81,78,76,78,82,55,66,6199
Jérémy Morel,Stade Rennais,France Ligue 1,CB,Gold,75,65,63,71,75,61,70,6201
Jürgen Locadia,TSG 1899 Hoffenheim,Germany 1. Bundesliga,ST,Gold,76,68,55,65,71,78,70,6209
Jóhann Berg Guðmundsson,Burnley,England Premier League,RM,Gold,78,76,73,74,77,28,62,6211
Jack Cork,Burnley,England Premier League,CM,Gold,76,44,63,72,67,76,69,6228
Jack Grealish,Aston Villa,England Premier League,LW,Gold,81,71,78,77,79,71,79,6232
Jack Wilshere,West Ham United,England Premier League,CM,Gold,79,62,73,81,81,56,58,6261
Jackson Martínez,Portimonense,Portugal Liga NOS,ST,Gold,76,63,72,72,80,44,58,6264
Jacob Bruun Larsen,Borussia Dortmund,Germany 1. Bundesliga,LM,Gold,75,90,71,63,77,30,72,6274
Jadon Sancho,Borussia Dortmund,Germany 1. Bundesliga,RM,Gold,86,73,78,88,86,51,61,6303
Jakub Błaszczykowski,Wisła Kraków,Poland Ekstraklasa,RM,Gold,75,73,52,71,77,66,72,6364
Jakub Jankto,Sampdoria,Italy Serie A,CM,Gold,75,64,52,62,69,69,64,6372
Jamaal Lascelles,Newcastle United,England Premier League,CB,Gold,78,82,62,72,75,71,78,6384
James Forrest,Celtic,Scotland Premiership,RM,Gold,77,78,43,70,75,75,68,6407
James Maddison,Leicester City,England Premier League,CM,Gold,82,58,49,65,68,81,82,6425
James McArthur,Crystal Palace,England Premier League,CM,Gold,76,63,35,50,61,76,75,6427
James McCarthy,Crystal Palace,England Premier League,CDM,Gold,75,77,67,74,83,41,67,6428
James Milner,Liverpool,England Premier League,CM,Gold,86,90,80,83,87,40,56,6431
James Rodríguez,Real Madrid,Spain Primera Division,CAM,Gold,88,60,48,64,63,89,83,6438
James Tarkowski,Burnley,England Premier League,CB,Gold,79,74,66,78,79,31,62,6445
James Tavernier,Rangers,Scotland Premiership,RB,Gold,75,65,71,78,76,47,77,6446
James Tomkins,Crystal Palace,England Premier League,CB,Gold,78,77,42,68,72,76,76,6448
James Ward-Prowse,Southampton,England Premier League,CM,Gold,79,69,54,75,74,79,69,6451
Jamie Vardy,Leicester City,England Premier League,ST,Gold,86,81,76,88,85,51,67,6475
Jan Bednarek,Southampton,England Premier League,CB,Gold,77,77,75,59,76,39,71,6485
Jan Bořil,Slavia Praha,Czech Republic HET Liga,LB,Gold,76,75,69,74,82,57,51,6486
Jan Vertonghen,Tottenham Hotspur,England Premier League,CB,Gold,87,76,88,76,76,53,84,6503
Janik Haberer,SC Freiburg,Germany 1. Bundesliga,CM,Gold,75,54,46,59,57,75,74,6517
Jannik Vestergaard,Southampton,England Premier League,CB,Gold,78,44,69,73,71,77,77,6536
Júnior Caiçara,Medipol Başakşehir,Turkey Süper Lig,RB,Gold,76,65,64,73,71,75,75,6547
Júnior Fernandes,Alanyaspor,Turkey Süper Lig,LM,Gold,75,88,71,63,75,34,73,6549
Júnior Moraes,Shakhtar Donetsk,Ukraine Premier Liga,ST,Gold,78,83,74,68,77,35,76,6550
Jardel,SL Benfica,Portugal Liga NOS,CB,Gold,81,85,61,77,80,75,69,6556
Jari Litmanen,Icons,Icons,CAM,Gold,90,79,91,69,83,36,65,6560
Jarrod Bowen,Hull City,England EFL Championship,RM,Gold,75,47,60,66,66,75,74,6571
Jasmin Kurtić,Spal,Italy Serie A,CM,Gold,75,60,28,52,52,72,83,6572
Jason,Getafe CF,Spain Primera Division,RM,Gold,75,66,40,63,67,76,72,6573
Jason Denayer,Olympique Lyonnais,France Ligue 1,CB,Gold,79,70,67,73,76,74,77,6578
Jaume Costa,Valencia CF,Spain Primera Division,LB,Gold,78,77,74,77,80,40,67,6597
Javi García,Real Betis Balompié,Spain Primera Division,CDM,Gold,77,49,66,72,74,72,71,6607
Javi López,RCD Espanyol,Spain Primera Division,RB,Gold,75,73,72,73,76,52,60,6610
Javi Martínez,Bayern München,Germany 1. Bundesliga,CDM,Gold,84,66,74,84,84,72,71,6611
Javier Aquino,Tigres U.A.N.L.,Mexico Liga MX,LM,Gold,75,29,34,41,55,76,72,6622
Javier Hernández,Sevilla FC,Spain Primera Division,ST,Gold,78,76,69,76,77,47,62,6628
Javier Mascherano,Hebei China Fortune,China Super League,CDM,Gold,87,42,82,90,80,71,70,6631
Javier Pastore,Roma,Italy Serie A,CM,Gold,79,75,74,78,81,47,74,6635
Javier Pinola,Núñez,Argentina Primera División ,CB,Gold,78,68,39,69,73,75,74,6636
Javier Zanetti,Icons,Icons,RB,Gold,92,86,63,88,85,90,81,6640
Jay Rodriguez,Burnley,England Premier League,ST,Gold,76,68,41,55,59,76,77,6650
